ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
600519.SH,20250903,1432.1452,1444.1518,1408.132,1422.1077,1491.3,-10.75,-0.7208,45045.03,6656011.145,0.960527
600519.SH,20250904,1413.8952,1420.907,1402.8203,1414.5291,1480.55,-7.89,-0.5329,47746.76,7017084.75,0.960527
600519.SH,20250905,1412.9347,1428.2743,1406.211,1424.461,1472.66,10.34,0.7021,37388.48,5519312.163,0.960527
600519.SH,20250908,1424.461,1446.9757,1419.1781,1441.9714,1483.0,18.23,1.2293,51382.98,7682065.696,0.960527
600519.SH,20250909,1445.5926,1450.3472,1434.4697,1445.5926,1501.23,3.77,0.2511,35742.77,5366650.005,0.960527
600519.SH,20250910,1447.187,1469.5577,1436.9478,1461.9311,1505.0,17.01,1.1302,49663.31,7541460.049,0.960527
600519.SH,20250911,1461.9311,1465.7828,1448.9544,1463.3623,1522.01,1.49,0.0979,37238.96,5642778.456,0.960527
600519.SH,20250912,1465.7636,1477.3091,1450.9043,1456.1584,1523.5,-7.5,-0.4923,33722.09,5132184.935,0.960527
600519.SH,20250915,1456.0335,1457.5799,1442.2307,1455.2939,1516.0,-0.9,-0.0594,25827.03,3901929.718,0.960527
600519.SH,20250916,1455.2939,1460.9514,1437.1495,1440.7707,1515.1,-15.12,-0.998,32717.89,4928374.478,0.960527
600519.SH,20250917,1440.7803,1450.6641,1431.1943,1434.0662,1499.98,-6.98,-0.4653,30330.54,4534770.634,0.960527
600519.SH,20250918,1433.1057,1438.6768,1405.7307,1410.0147,1493.0,-25.04,-1.6772,49721.25,7347477.479,0.960527
600519.SH,20250919,1410.0435,1417.257,1399.4969,1410.0243,1467.96,0.01,0.0007,32636.62,4784528.851,0.960527
600519.SH,20250922,1407.2579,1410.0243,1392.7732,1395.9814,1467.97,-14.62,-0.9959,34947.08,5085057.536,0.960527
600519.SH,20250923,1393.2439,1399.9675,1383.1583,1390.2854,1453.35,-5.93,-0.408,38663.0,5588384.388,0.960527
600519.SH,20250924,1377.4624,1399.276,1377.4624,1385.0794,1447.42,-5.42,-0.3745,30743.5,4443052.872,0.960527
600519.SH,20250925,1385.8766,1388.1627,1379.3162,1382.1978,1442.0,-3.0,-0.208,33869.73,4873274.661,0.960527
600519.SH,20250926,1384.2918,1389.9877,1371.6416,1378.3557,1439.0,-4.0,-0.278,45120.71,6480889.597,0.960527
