ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
600031.SH,20250306,18.8083,19.1081,18.5666,19.0114,19.68,-0.02,-0.1016,1336008.58,2606592.05,0.96701
600031.SH,20250307,18.9921,19.3015,18.7697,19.2048,19.66,0.2,1.0173,939235.12,1860063.48,0.96701
600031.SH,20250310,19.5336,19.872,19.3402,19.7947,19.86,0.61,3.0715,2106416.73,4285481.925,0.96701
600031.SH,20250311,19.6013,20.0654,19.5626,19.8624,20.47,0.07,0.342,1278628.92,2622766.483,0.96701
600031.SH,20250312,19.8237,20.0461,19.4852,19.4949,20.54,-0.38,-1.85,1069072.91,2169686.857,0.96701
600031.SH,20250313,19.3885,19.5143,19.1951,19.3789,20.16,-0.12,-0.5952,925549.26,1850235.713,0.96701
600031.SH,20250314,19.3789,19.9011,19.3789,19.814,20.04,0.45,2.2455,1210653.1,2473326.496,0.96701
600031.SH,20250317,19.8044,19.9107,19.5239,19.756,20.49,-0.06,-0.2928,1092036.46,2231435.756,0.96701
600031.SH,20250318,19.8044,19.8044,19.0888,19.2628,20.43,-0.51,-2.4963,1121807.36,2237241.576,0.96701
600031.SH,20250319,19.0984,19.4272,19.0791,19.3402,19.92,0.08,0.4016,656803.87,1312403.023,0.96701
600031.SH,20250320,19.6303,19.872,19.1468,19.1951,20.0,-0.15,-0.75,796322.1,1594441.044,0.96701
600031.SH,20250321,19.1951,19.2918,18.8954,18.9437,19.85,-0.26,-1.3098,541886.76,1066483.294,0.96701
600031.SH,20250324,19.0501,19.4756,18.9824,19.3015,19.59,0.37,1.8887,617320.5,1228750.574,0.96701
600031.SH,20250325,19.3402,19.3982,18.8857,18.9147,19.96,-0.4,-2.004,545097.7,1075685.161,0.96701
600031.SH,20250326,18.9534,19.0017,18.4215,18.6536,19.56,-0.27,-1.3804,751218.9,1449622.215,0.96701
600031.SH,20250327,18.5666,18.6923,18.4699,18.6149,19.29,-0.04,-0.2074,317038.64,609473.214,0.96701
600031.SH,20250328,18.6439,18.8373,18.4796,18.6149,19.25,0.0,0.0,432751.83,831958.066,0.96701
600031.SH,20250331,18.5956,18.6439,18.3055,18.4409,19.25,-0.18,-0.9351,404810.23,772189.438,0.96701
600031.SH,20250401,18.5182,18.5666,18.2088,18.3055,19.07,-0.14,-0.7341,372331.3,706317.072,0.96701
600031.SH,20250402,18.2668,18.7987,18.2571,18.7213,18.93,0.43,2.2715,535948.34,1034269.275,0.96701
600031.SH,20250403,18.5666,18.6826,18.2668,18.4699,19.36,-0.26,-1.343,411313.69,786068.079,0.96701
600031.SH,20250407,17.5512,17.8413,16.913,17.4062,19.1,-1.1,-5.7592,1211637.53,2174458.522,0.96701
600031.SH,20250408,17.5996,17.938,17.2128,17.938,18.0,0.55,3.0556,1231862.5,2249528.296,0.96701
600031.SH,20250409,17.7833,18.4892,17.5512,18.4892,18.55,0.57,3.0728,1088675.06,2037459.402,0.96701
600031.SH,20250410,18.76,18.7697,18.1798,18.4699,19.12,-0.02,-0.1046,801014.98,1526645.635,0.96701
600031.SH,20250411,18.2862,18.7503,18.2862,18.673,19.1,0.21,1.0995,482423.71,926743.118,0.96701
600031.SH,20250414,18.673,18.7503,18.1895,18.2668,19.31,-0.42,-2.175,659575.9,1254313.921,0.96701
600031.SH,20250415,18.2668,18.3538,17.8897,18.3345,18.89,0.07,0.3706,498659.89,934753.52,0.96701
600031.SH,20250416,18.3248,18.4699,17.822,18.4699,18.96,0.14,0.7384,596409.43,1118508.24,0.96701
600031.SH,20250417,18.3248,18.5279,18.2088,18.4312,19.1,-0.04,-0.2094,433571.23,823346.74,0.96701
600031.SH,20250418,18.4215,18.5956,18.1798,18.5569,19.06,0.13,0.6821,364503.89,694159.637,0.96701
600031.SH,20250421,18.4505,18.76,18.2862,18.5956,19.19,0.04,0.2084,381040.22,731202.525,0.96701
600031.SH,20250422,18.5956,18.5956,18.3152,18.3248,19.23,-0.28,-1.4561,330581.23,628462.385,0.96701
600031.SH,20250423,18.3829,18.9921,18.3538,18.76,18.95,0.45,2.3747,719919.72,1395551.262,0.96701
600031.SH,20250424,18.7793,19.0017,18.4022,18.4215,19.4,-0.35,-1.8041,428221.56,825620.533,0.96701
600031.SH,20250425,18.5666,18.6053,18.3345,18.4602,19.05,0.04,0.21,294040.99,560318.175,0.96701
600031.SH,20250428,18.4602,18.7406,18.3732,18.4215,19.09,-0.04,-0.2095,290181.43,556163.009,0.96701
600031.SH,20250429,18.3345,18.6149,18.3345,18.5569,19.05,0.14,0.7349,344705.47,659630.045,0.96701
600031.SH,20250430,18.8373,18.9147,18.2571,18.2668,19.19,-0.3,-1.5633,704212.24,1347148.465,0.96701
600031.SH,20250506,18.5472,19.0984,18.4409,19.0307,18.89,0.79,4.1821,797109.1,1558058.474,0.96701
600031.SH,20250507,19.4369,19.4369,18.8664,19.0404,19.68,0.01,0.0508,524204.36,1032592.016,0.96701
600031.SH,20250508,18.9244,18.9244,18.7116,18.7697,19.69,-0.28,-1.422,416313.43,808769.321,0.96701
600031.SH,20250509,18.7697,19.1468,18.731,19.0694,19.41,0.31,1.5971,520687.36,1022788.072,0.96701
600031.SH,20250512,19.1274,19.4949,19.0501,19.3402,19.72,0.28,1.4199,612425.39,1224229.827,0.96701
600031.SH,20250513,19.4272,19.5239,19.1565,19.2628,20.0,-0.08,-0.4,442906.06,882733.307,0.96701
600031.SH,20250514,19.2145,19.2145,18.6923,18.934,19.92,-0.34,-1.7068,703918.53,1375618.539,0.96701
600031.SH,20250515,18.8857,18.9534,18.5182,18.5666,19.58,-0.38,-1.9408,579659.66,1118377.691,0.96701
600031.SH,20250516,18.5666,18.76,18.4892,18.6633,19.2,0.1,0.5208,307282.87,590788.139,0.96701
600031.SH,20250519,18.6633,18.7793,18.4699,18.5472,19.3,-0.12,-0.6218,380042.81,732445.467,0.96701
600031.SH,20250520,18.5569,18.6149,18.2281,18.3538,19.18,-0.2,-1.0428,580140.35,1101282.723,0.96701
600031.SH,20250521,18.3538,18.4699,18.3055,18.3829,18.98,0.03,0.1581,352177.2,670117.663,0.96701
600031.SH,20250522,18.3829,18.5956,18.3152,18.4409,19.01,0.06,0.3156,357665.69,683478.339,0.96701
600031.SH,20250523,18.4989,18.6633,18.2378,18.2862,19.07,-0.16,-0.839,453618.5,863572.501,0.96701
600031.SH,20250526,18.2185,18.2571,17.8897,18.0444,18.91,-0.25,-1.3221,491582.8,915567.328,0.96701
600031.SH,20250527,18.0444,18.0831,17.8026,17.8026,18.66,-0.25,-1.3398,290435.51,537941.941,0.96701
600031.SH,20250528,17.8607,18.0154,17.8317,17.8897,18.41,0.09,0.4889,241774.37,447820.486,0.96701
600031.SH,20250529,17.9284,18.2958,17.8993,18.1314,18.5,0.25,1.3514,394993.77,741276.872,0.96701
600031.SH,20250530,18.1411,18.2571,17.9574,18.2088,18.75,0.08,0.4267,321981.83,604138.325,0.96701
600031.SH,20250603,18.4989,18.4989,17.735,17.8123,18.83,-0.41,-2.1774,678244.07,1252178.384,0.96701
600031.SH,20250604,17.8413,17.8413,17.6092,17.6963,18.42,-0.12,-0.6515,455616.36,833198.052,0.96701
600031.SH,20250605,17.6963,17.735,17.5319,17.6479,18.3,-0.05,-0.2732,397261.35,724008.178,0.96701
600031.SH,20250606,17.6963,17.9864,17.6479,17.8607,18.25,0.22,1.2055,411018.68,760254.551,0.96701
600031.SH,20250609,17.7833,17.938,17.6963,17.7156,18.47,-0.15,-0.8121,493317.92,907261.016,0.96701
600031.SH,20250610,17.7446,17.909,17.5029,17.5802,18.32,-0.14,-0.7642,347947.14,635331.653,0.96701
600031.SH,20250611,17.7381,17.8071,17.5802,17.669,17.82,0.09,0.5051,329087.94,591374.72,0.986545
600031.SH,20250612,17.6592,17.6986,17.4816,17.5605,17.91,-0.11,-0.6142,261777.4,466753.354,0.986545
